2022-12-23,همکاری دو مدیر ارشد با دادستان‌ها در تشکیل پرونده علیه سم بنکمن فرید,58,15
2022-12-23,آوی سیستم اثبات ذخایر خود را راه‌اندازی خواهد کرد,76,48
2022-12-23,پروتکل اصلی بیت کوین به طور متوسط تنها ۴۰ تا ۶۰ توسعه‌دهنده فعال ماهانه دارد,128,30
2022-12-23,تعداد کیف پول‌های منحصر‌به‌فرد بایننس اسمارت چین از اتریوم بیشتر شده است,85,17
2023-01-02,یک توسعه‌دهنده سرشناس ادعا می‌کند که بیش از ۲۰۰ بیت کوین او به سرقت رفته است,42,204
2023-01-02,پیتر شیف: دلار آمریکا یکی از بدترین سال‌های خود را تجربه خواهد کرد,107,28
2023-01-02,دو استخر استخراج ۵۱درصد هش‌ریت شبکه بیت کوین را کنترل می‌کنند,106,47
2023-01-01,سرمایه‌گذاری خارجی‌ها روی ارزهای دیجیتال از طریق صرافی‌های بریتانیایی، از مالیات معاف می‌شود,262,21
2023-01-01,رابرت کیوساکی: اکنون روی بیت کوین سرمایه‌گذاری می‌کنم,979,94
2023-01-01,حجم معاملات ماهانه صرافی‌های ارز دیجیتال به پایین‌ترین سطح خود در ۲ سال گذشته رسید,147,236
2023-01-01,ثروت ایلان ماسک به ۱۳۷میلیارد دلار سقوط کرد,292,488
2023-01-01,مشتریان کوین بیس از به اشتراک‌گذاری اطلاعات حساب‌هایشان در دعوی قضایی خودداری می‌کنند,84,34
2022-12-31,قانون‌گذاران آمریکا برای تعیین چهارچوب نظارتی جدید در ارزهای دیجیتال تحت‌ فشار هستند,102,39
2022-12-31,تام لی: شرایط نامطلوب اقتصاد کلان در سال ۲۰۲۳ ادامه نخواهد یافت,238,27
2022-12-31,پیش‌بینی الگوریتم یادگیری ماشین از قیمت بیت کوین تا ۳۱ ژانویه,210,120
2022-12-31,رویترز: سم بنکمن فرید احتمالاً ادعای بی‌گناهی خواهد کرد,88,44
2022-12-31,دیوید مارکوس: در سال ۲۰۲۳ و حتی ۲۰۲۴ هم از بازار نزولی خارج نخواهیم شد,363,685
2022-12-31,امکان ارسال پیشنهاد خرید ناشناس به مالکان نام‌های کاربری تلگرام فراهم شد,96,31
2022-12-31,صرافی هوبی قصد دارد بخش قابل‌توجهی از نیروهای خود را تعدیل کند,37,90
2022-12-31,ایتالیا اخذ مالیات ۲۶درصدی از ارزهای دیجیتال را تصویب کرد,63,171
2022-12-30,در سال ۲۰۲۲ فعالیت توسعه‌دهنده‌های کاردانو بیشتر از توسعه‌دهندگان سایر بلاک چین‌ها بوده است,261,39
2022-12-30,سم بنکمن فرید قبل از سقوط FTX با مشاور ارشد بایدن ملاقات کرده بود,82,45
